filename,ind1,ind2,ind3,ind4,combined
data300.txt,75,30,30,30,85
data301.txt,30,30,20,30,75
data302.txt,85,85,20,30,85
data303.txt,30,30,85,75,85
data304.txt,30,20,75,30,85
data305.txt,45,85,85,45,85
data306.txt,30,85,75,30,85
data307.txt,30,75,30,30,85
data308.txt,30,30,85,70,85
data309.txt,30,30,20,85,85
data310.txt,75,30,75,30,95
data311.txt,70,30,85,45,85
data312.txt,20,30,85,85,85
data313.txt,30,75,30,30,85
data314.txt,30,45,30,75,85
data315.txt,30,30,85,30,85
data316.txt,20,15,20,30,85
data317.txt,85,30,85,85,95
data318.txt,20,65,20,85,85
data319.txt,70,30,85,30,85
data320.txt,30,20,85,85,85
data321.txt,85,30,45,30,85
data322.txt,20,85,85,85,85
data323.txt,30,65,30,85,85
data324.txt,75,75,85,30,85
data325.txt,65,30,85,85,85
data326.txt,20,75,45,65,85
data327.txt,30,85,30,30,85
data328.txt,75,70,45,30,85
data329.txt,30,20,20,75,85
data330.txt,30,30,30,30,75
data331.txt,45,85,85,75,95
data332.txt,75,30,30,30,85
data333.txt,75,75,85,75,95
data334.txt,20,30,20,30,85
data335.txt,30,20,85,70,85
data336.txt,30,85,75,75,95
data337.txt,30,75,75,20,85
data338.txt,45,45,30,85,85
data339.txt,30,30,30,20,85
data340.txt,20,75,85,20,85
data341.txt,85,85,30,45,85
data342.txt,85,30,30,20,85
data343.txt,75,85,30,30,85
data344.txt,75,45,45,30,85
data345.txt,30,75,30,30,85
data346.txt,30,30,20,30,70
data347.txt,30,85,30,85,95
data348.txt,20,75,30,85,85
data349.txt,85,45,30,85,85
data350.txt,75,30,20,65,85
data351.txt,85,45,85,30,95
data352.txt,30,30,20,30,85
data353.txt,20,75,30,75,95
data354.txt,30,85,45,30,85
data355.txt,75,30,30,45,85
data356.txt,70,30,85,30,85
data357.txt,75,75,30,30,85
data358.txt,30,30,30,45,75
data359.txt,75,30,20,20,75
data360.txt,20,30,30,30,30
data361.txt,65,30,85,85,95
data362.txt,45,30,75,30,85
data363.txt,30,85,75,30,85
data364.txt,85,85,30,30,85
data365.txt,45,45,30,20,75
data366.txt,30,20,20,85,85
data367.txt,85,30,20,85,85
data368.txt,20,45,85,20,85
data369.txt,20,30,30,75,85
data370.txt,85,30,45,30,85
data371.txt,70,30,20,85,85
data372.txt,30,30,75,30,85
data373.txt,20,85,75,15,85
data374.txt,85,75,30,85,95
data375.txt,85,75,20,30,85
data376.txt,75,70,85,65,95
data377.txt,20,30,75,20,75
data378.txt,85,85,85,65,95
data379.txt,85,85,20,30,85
data380.txt,75,30,75,30,95
data381.txt,85,30,85,30,85
data382.txt,75,85,30,30,85
data383.txt,45,75,75,85,85
data384.txt,85,45,30,30,85
data385.txt,30,30,85,85,85
data386.txt,75,45,85,30,85
data387.txt,30,30,85,30,85
data388.txt,20,30,20,20,85
data389.txt,65,20,30,85,85
data390.txt,30,85,85,30,85
data391.txt,30,30,20,75,85
data392.txt,20,20,20,85,85
data393.txt,20,30,30,45,75
data394.txt,30,85,45,65,85
data395.txt,20,85,75,20,85
data396.txt,85,30,75,20,85
data397.txt,30,85,30,75,95
data398.txt,30,85,30,20,85
data399.txt,30,20,75,45,85
data400.txt,10,10,10,10,10
data401.txt,20,10,10,10,20
data402.txt,20,10,10,10,10
data403.txt,10,10,20,10,10
data404.txt,10,10,10,20,10
data405.txt,10,10,10,10,10
data406.txt,10,10,10,10,10
data407.txt,10,10,10,10,10
data408.txt,10,10,10,10,20
data409.txt,20,20,20,10,20
data410.txt,10,10,20,10,10
data411.txt,15,10,10,10,20
data412.txt,10,10,10,10,10
data413.txt,10,20,15,10,10
data414.txt,10,10,10,10,10
data415.txt,10,10,10,10,10
data416.txt,10,10,10,20,10
data417.txt,10,10,20,20,10
data418.txt,10,10,15,10,10
data419.txt,20,10,10,10,20
data420.txt,10,10,20,20,20
data421.txt,10,10,10,10,10
data422.txt,10,10,10,10,10
data423.txt,10,10,10,10,10
data424.txt,10,10,10,10,10
data425.txt,10,20,10,10,20
data426.txt,10,10,10,10,10
data427.txt,20,10,10,10,10
data428.txt,10,10,10,10,10
data429.txt,10,10,10,10,20
data430.txt,10,10,10,20,10
data431.txt,10,10,10,10,10
data432.txt,10,10,20,10,30
data433.txt,10,20,10,10,20
data434.txt,10,10,10,10,20
data435.txt,10,20,10,20,10
data436.txt,10,10,10,10,10
data437.txt,10,10,10,10,20
data438.txt,10,10,10,10,10
data439.txt,10,10,10,10,10
data440.txt,10,10,10,20,20
data441.txt,10,10,10,10,10
data442.txt,10,10,10,10,10
data443.txt,10,10,10,10,10
data444.txt,10,20,20,10,10
data445.txt,10,10,10,15,10
data446.txt,10,10,15,10,10
data447.txt,10,10,10,10,10
data448.txt,10,10,20,10,10
data449.txt,10,10,10,20,10
data450.txt,10,20,10,10,10
data451.txt,10,20,10,15,10
data452.txt,10,10,10,20,10
data453.txt,10,10,10,10,10
data454.txt,10,10,10,20,10
data455.txt,10,10,10,20,10
data456.txt,20,20,10,10,20
data457.txt,10,10,10,10,20
data458.txt,10,10,10,10,10
data459.txt,10,10,10,10,10
data460.txt,10,10,10,10,10
data461.txt,10,20,20,10,20
data462.txt,10,10,20,10,10
data463.txt,10,10,10,10,10
data464.txt,10,10,10,10,20
data465.txt,10,10,10,10,10
data466.txt,10,20,10,15,10
data467.txt,10,10,10,10,20
data468.txt,10,10,10,20,10
data469.txt,10,10,10,10,10
data470.txt,10,10,10,10,20
data471.txt,15,10,10,10,10
data472.txt,10,10,10,10,10
data473.txt,10,10,10,10,10
data474.txt,10,20,10,10,10
data475.txt,10,20,10,10,30
data476.txt,10,10,10,10,10
data477.txt,10,10,10,10,20
data478.txt,10,20,20,20,10
data479.txt,10,10,10,10,10
data480.txt,10,10,10,10,20
data481.txt,10,10,10,10,10
data482.txt,10,10,20,10,10
data483.txt,20,20,20,20,15
data484.txt,20,10,10,10,10
data485.txt,10,10,10,10,20
data486.txt,10,10,10,10,10
data487.txt,20,10,10,10,10
data488.txt,10,10,20,15,10
data489.txt,10,10,10,10,10
data490.txt,20,20,20,10,10
data491.txt,20,10,10,20,10
data492.txt,10,10,20,10,20
data493.txt,10,10,10,10,10
data494.txt,10,10,10,10,10
data495.txt,10,10,10,10,20
data496.txt,20,10,20,10,10
data497.txt,10,10,10,10,10
data498.txt,10,20,10,10,10
data499.txt,20,10,10,10,20
