dataset_index,ind1,ind2,ind3,ind4,combined
0,ind1/data0.txt,ind2/data0.txt,ind3/data0.txt,ind4/data0.txt,combined/data0.txt
1,ind1/data1.txt,ind2/data1.txt,ind3/data1.txt,ind4/data1.txt,combined/data1.txt
2,ind1/data2.txt,ind2/data2.txt,ind3/data2.txt,ind4/data2.txt,combined/data2.txt
3,ind1/data3.txt,ind2/data3.txt,ind3/data3.txt,ind4/data3.txt,combined/data3.txt
4,ind1/data4.txt,ind2/data4.txt,ind3/data4.txt,ind4/data4.txt,combined/data4.txt
5,ind1/data5.txt,ind2/data5.txt,ind3/data5.txt,ind4/data5.txt,combined/data5.txt
6,ind1/data6.txt,ind2/data6.txt,ind3/data6.txt,ind4/data6.txt,combined/data6.txt
7,ind1/data7.txt,ind2/data7.txt,ind3/data7.txt,ind4/data7.txt,combined/data7.txt
8,ind1/data8.txt,ind2/data8.txt,ind3/data8.txt,ind4/data8.txt,combined/data8.txt
9,ind1/data9.txt,ind2/data9.txt,ind3/data9.txt,ind4/data9.txt,combined/data9.txt
10,ind1/data10.txt,ind2/data10.txt,ind3/data10.txt,ind4/data10.txt,combined/data10.txt
11,ind1/data11.txt,ind2/data11.txt,ind3/data11.txt,ind4/data11.txt,combined/data11.txt
12,ind1/data12.txt,ind2/data12.txt,ind3/data12.txt,ind4/data12.txt,combined/data12.txt
13,ind1/data13.txt,ind2/data13.txt,ind3/data13.txt,ind4/data13.txt,combined/data13.txt
14,ind1/data14.txt,ind2/data14.txt,ind3/data14.txt,ind4/data14.txt,combined/data14.txt
15,ind1/data15.txt,ind2/data15.txt,ind3/data15.txt,ind4/data15.txt,combined/data15.txt
16,ind1/data16.txt,ind2/data16.txt,ind3/data16.txt,ind4/data16.txt,combined/data16.txt
17,ind1/data17.txt,ind2/data17.txt,ind3/data17.txt,ind4/data17.txt,combined/data17.txt
18,ind1/data18.txt,ind2/data18.txt,ind3/data18.txt,ind4/data18.txt,combined/data18.txt
19,ind1/data19.txt,ind2/data19.txt,ind3/data19.txt,ind4/data19.txt,combined/data19.txt
20,ind1/data20.txt,ind2/data20.txt,ind3/data20.txt,ind4/data20.txt,combined/data20.txt
21,ind1/data21.txt,ind2/data21.txt,ind3/data21.txt,ind4/data21.txt,combined/data21.txt
22,ind1/data22.txt,ind2/data22.txt,ind3/data22.txt,ind4/data22.txt,combined/data22.txt
23,ind1/data23.txt,ind2/data23.txt,ind3/data23.txt,ind4/data23.txt,combined/data23.txt
24,ind1/data24.txt,ind2/data24.txt,ind3/data24.txt,ind4/data24.txt,combined/data24.txt
25,ind1/data25.txt,ind2/data25.txt,ind3/data25.txt,ind4/data25.txt,combined/data25.txt
26,ind1/data26.txt,ind2/data26.txt,ind3/data26.txt,ind4/data26.txt,combined/data26.txt
27,ind1/data27.txt,ind2/data27.txt,ind3/data27.txt,ind4/data27.txt,combined/data27.txt
28,ind1/data28.txt,ind2/data28.txt,ind3/data28.txt,ind4/data28.txt,combined/data28.txt
29,ind1/data29.txt,ind2/data29.txt,ind3/data29.txt,ind4/data29.txt,combined/data29.txt
30,ind1/data30.txt,ind2/data30.txt,ind3/data30.txt,ind4/data30.txt,combined/data30.txt
31,ind1/data31.txt,ind2/data31.txt,ind3/data31.txt,ind4/data31.txt,combined/data31.txt
32,ind1/data32.txt,ind2/data32.txt,ind3/data32.txt,ind4/data32.txt,combined/data32.txt
33,ind1/data33.txt,ind2/data33.txt,ind3/data33.txt,ind4/data33.txt,combined/data33.txt
34,ind1/data34.txt,ind2/data34.txt,ind3/data34.txt,ind4/data34.txt,combined/data34.txt
35,ind1/data35.txt,ind2/data35.txt,ind3/data35.txt,ind4/data35.txt,combined/data35.txt
36,ind1/data36.txt,ind2/data36.txt,ind3/data36.txt,ind4/data36.txt,combined/data36.txt
37,ind1/data37.txt,ind2/data37.txt,ind3/data37.txt,ind4/data37.txt,combined/data37.txt
38,ind1/data38.txt,ind2/data38.txt,ind3/data38.txt,ind4/data38.txt,combined/data38.txt
39,ind1/data39.txt,ind2/data39.txt,ind3/data39.txt,ind4/data39.txt,combined/data39.txt
40,ind1/data40.txt,ind2/data40.txt,ind3/data40.txt,ind4/data40.txt,combined/data40.txt
41,ind1/data41.txt,ind2/data41.txt,ind3/data41.txt,ind4/data41.txt,combined/data41.txt
42,ind1/data42.txt,ind2/data42.txt,ind3/data42.txt,ind4/data42.txt,combined/data42.txt
43,ind1/data43.txt,ind2/data43.txt,ind3/data43.txt,ind4/data43.txt,combined/data43.txt
44,ind1/data44.txt,ind2/data44.txt,ind3/data44.txt,ind4/data44.txt,combined/data44.txt
45,ind1/data45.txt,ind2/data45.txt,ind3/data45.txt,ind4/data45.txt,combined/data45.txt
46,ind1/data46.txt,ind2/data46.txt,ind3/data46.txt,ind4/data46.txt,combined/data46.txt
47,ind1/data47.txt,ind2/data47.txt,ind3/data47.txt,ind4/data47.txt,combined/data47.txt
48,ind1/data48.txt,ind2/data48.txt,ind3/data48.txt,ind4/data48.txt,combined/data48.txt
49,ind1/data49.txt,ind2/data49.txt,ind3/data49.txt,ind4/data49.txt,combined/data49.txt
50,ind1/data50.txt,ind2/data50.txt,ind3/data50.txt,ind4/data50.txt,combined/data50.txt
51,ind1/data51.txt,ind2/data51.txt,ind3/data51.txt,ind4/data51.txt,combined/data51.txt
52,ind1/data52.txt,ind2/data52.txt,ind3/data52.txt,ind4/data52.txt,combined/data52.txt
53,ind1/data53.txt,ind2/data53.txt,ind3/data53.txt,ind4/data53.txt,combined/data53.txt
54,ind1/data54.txt,ind2/data54.txt,ind3/data54.txt,ind4/data54.txt,combined/data54.txt
55,ind1/data55.txt,ind2/data55.txt,ind3/data55.txt,ind4/data55.txt,combined/data55.txt
56,ind1/data56.txt,ind2/data56.txt,ind3/data56.txt,ind4/data56.txt,combined/data56.txt
57,ind1/data57.txt,ind2/data57.txt,ind3/data57.txt,ind4/data57.txt,combined/data57.txt
58,ind1/data58.txt,ind2/data58.txt,ind3/data58.txt,ind4/data58.txt,combined/data58.txt
59,ind1/data59.txt,ind2/data59.txt,ind3/data59.txt,ind4/data59.txt,combined/data59.txt
60,ind1/data60.txt,ind2/data60.txt,ind3/data60.txt,ind4/data60.txt,combined/data60.txt
61,ind1/data61.txt,ind2/data61.txt,ind3/data61.txt,ind4/data61.txt,combined/data61.txt
62,ind1/data62.txt,ind2/data62.txt,ind3/data62.txt,ind4/data62.txt,combined/data62.txt
63,ind1/data63.txt,ind2/data63.txt,ind3/data63.txt,ind4/data63.txt,combined/data63.txt
64,ind1/data64.txt,ind2/data64.txt,ind3/data64.txt,ind4/data64.txt,combined/data64.txt
65,ind1/data65.txt,ind2/data65.txt,ind3/data65.txt,ind4/data65.txt,combined/data65.txt
66,ind1/data66.txt,ind2/data66.txt,ind3/data66.txt,ind4/data66.txt,combined/data66.txt
67,ind1/data67.txt,ind2/data67.txt,ind3/data67.txt,ind4/data67.txt,combined/data67.txt
68,ind1/data68.txt,ind2/data68.txt,ind3/data68.txt,ind4/data68.txt,combined/data68.txt
69,ind1/data69.txt,ind2/data69.txt,ind3/data69.txt,ind4/data69.txt,combined/data69.txt
70,ind1/data70.txt,ind2/data70.txt,ind3/data70.txt,ind4/data70.txt,combined/data70.txt
71,ind1/data71.txt,ind2/data71.txt,ind3/data71.txt,ind4/data71.txt,combined/data71.txt
72,ind1/data72.txt,ind2/data72.txt,ind3/data72.txt,ind4/data72.txt,combined/data72.txt
