scenario #,channel1_score,channel2_score,channel3_score,channel4_score,combined_score
0,20,10,10,20,20
1,10,10,10,20,10
2,10,10,20,10,20
3,20,10,30,75,
4,10,20,10,20,10
5,10,10,10,20,10
6,10,10,10,10,10
7,10,10,10,20,20
8,20,10,10,20,20
100,10,10,10,10,10
101,10,10,10,10,10
102,10,0,10,10,10
103,10,10,10,10,10
104,10,10,10,10,10
105,10,10,10,10,10
106,10,10,10,10,20
107,10,10,10,10,20
108,10,10,10,10,10
109,10,10,10,10,10
110,10,10,10,20,10
111,10,10,10,10,20
112,10,10,10,0,10
113,10,10,10,10,10
114,10,10,10,10,10
115,10,10,10,10,10
116,10,10,10,10,10
117,10,10,10,10,10
118,10,10,10,10,10
119,10,10,10,10,10
120,10,10,10,10,20
121,10,10,10,10,10
122,10,10,10,10,10
123,10,10,10,10,10
124,10,10,10,10,10
125,10,10,10,10,10
126,10,10,10,10,15
127,10,10,10,10,10
128,10,10,10,10,10
129,10,10,10,10,20
130,10,10,10,10,10
131,10,10,10,10,15
132,10,10,10,10,20
133,10,10,10,10,10
134,10,10,10,10,20
135,10,10,10,10,10
136,10,10,10,10,10
137,10,10,10,10,10
138,10,10,10,10,10
139,10,10,10,10,20
140,10,10,10,10,20
141,10,10,10,10,10
142,10,10,10,10,10
143,10,10,10,10,10
144,10,10,10,10,20
145,10,10,10,10,10
146,10,10,10,10,10
147,10,10,10,10,10
148,10,10,10,10,10
149,10,10,10,10,10
150,10,10,10,10,10
151,10,10,10,10,10
152,10,10,10,10,10
153,10,10,10,10,20
154,10,10,10,10,20
155,10,10,10,10,10
156,10,10,10,20,20
157,10,10,10,10,10
158,10,10,10,10,10
159,10,10,10,10,10
160,10,10,10,10,10
161,10,10,10,20,10
162,10,10,10,10,10
163,10,10,10,10,10
164,10,10,10,10,10
165,10,10,10,10,10
166,10,10,10,10,10
167,10,10,10,10,20
168,10,20,10,10,30
169,10,10,10,10,20
170,10,10,10,10,10
171,10,10,10,10,20
172,10,10,10,10,10
173,10,10,10,10,10
174,10,10,10,10,10
175,10,10,10,10,10
176,10,10,10,20,10
177,10,10,10,10,10
178,10,10,10,10,10
179,10,10,10,10,10
180,10,10,10,10,10
181,10,10,10,10,20
182,10,10,10,10,10
183,10,10,10,10,10
184,10,10,10,10,10
185,10,10,10,10,10
186,10,20,10,10,10
187,10,10,10,10,10
188,10,10,10,10,10
189,10,10,10,10,10
190,10,10,10,10,10
191,10,10,10,10,20
192,10,10,10,10,10
193,10,10,10,10,20
194,20,10,10,10,20
195,10,10,10,10,10
196,10,10,10,10,10
197,10,10,10,10,10
198,10,10,10,10,10
199,10,10,10,10,10
200,75,20,30,30,
201,30,85,85,30,
202,65,75,85,30,
203,20,30,30,45,85
204,30,30,85,85,
205,75,30,75,45,
206,30,75,75,30,
207,85,20,85,70,
208,30,85,20,20,
209,30,30,85,75,
210,85,30,30,30,
211,30,85,85,85,
212,30,30,20,85,
213,85,30,75,85,
214,65,30,30,30,75
215,20,30,85,30,
216,85,30,30,20,
217,70,85,85,30,
218,75,85,30,85,
219,30,30,75,85,
220,30,75,85,85,
221,75,30,45,85,
222,30,45,30,30,85
223,75,30,85,75,
224,85,20,85,20,
225,75,45,30,30,
226,85,85,85,85,
227,75,20,85,65,
228,85,30,75,45,
229,85,65,20,30,
230,30,75,30,85,
231,75,20,30,30,
232,30,85,75,30,
233,30,85,30,20,
234,30,75,75,30,
235,30,30,30,30,85
236,85,65,85,85,
237,30,75,85,30,
238,85,30,20,20,
239,45,85,75,75,
240,30,85,30,30,
241,75,20,85,30,
242,85,30,85,85,
243,30,30,85,30,
244,85,85,85,30,
245,30,30,30,85,
246,75,85,30,30,
247,30,45,85,30,
248,45,30,85,30,
249,85,85,30,65,
250,85,85,70,45,
251,30,85,85,75,
252,30,65,30,70,
253,30,30,30,75,
254,85,45,30,85,
255,45,75,85,45,
256,30,30,85,30,
257,85,30,45,30,
258,30,30,30,20,85
259,30,85,30,20,
260,85,30,30,30,
261,85,75,30,45,
262,85,20,30,85,
263,85,20,85,85,
264,30,30,30,30,85
265,75,85,75,75,
266,30,85,30,30,
267,30,30,30,75,
268,30,30,30,75,
269,70,75,85,30,
270,70,85,85,70,
271,30,30,85,30,
272,45,85,85,85,
273,30,30,30,75,
274,30,30,75,75,
275,75,85,85,30,
276,30,85,30,85,
277,85,85,85,85,
278,20,20,75,85,
279,45,85,85,30,
280,30,30,30,85,
281,30,65,85,75,
282,85,65,45,30,
283,30,75,30,85,
284,20,85,30,85,
285,70,85,85,30,
286,85,85,30,85,
287,30,20,85,75,
288,30,30,75,70,
289,30,85,30,30,
290,45,30,75,75,
291,30,30,30,30,85
292,85,30,20,85,
293,30,30,45,30,85
294,75,30,85,30,
295,30,30,30,85,
296,85,20,20,30,
297,75,75,30,70,
298,30,30,65,85,
299,30,30,30,30,85
300,85,30,30,30,
301,30,30,20,30,85
302,85,85,30,30,
303,30,30,85,75,
304,45,20,85,30,
305,45,85,85,65,
306,30,85,75,30,
307,30,75,30,30,
308,30,30,85,30,
309,30,30,30,85,
310,75,45,85,30,
311,70,30,85,70,
312,30,45,85,85,
313,30,85,30,30,
314,30,65,30,85,
315,30,30,85,30,
316,20,20,20,30,85
317,85,30,85,85,
318,30,75,30,85,
319,75,30,85,45,
320,30,30,85,85,
321,85,30,30,30,
322,30,75,85,85,
323,30,75,70,85,
324,75,75,85,30,
325,75,30,85,85,
326,20,75,30,70,
327,30,85,30,30,
328,75,75,70,30,
329,30,20,30,70,
330,45,30,30,30,85
