filename,ind1,ind2,ind3,ind4,avg_ind1_ind4,combined,combined_minus_avg_ind
data400.txt,10,15,10,20,13.75,30,16.25
data401.txt,20,10,10,10,12.5,75,62.5
data402.txt,20,10,10,10,12.5,20,7.5
data403.txt,10,10,20,10,12.5,30,17.5
data404.txt,20,10,20,20,17.5,20,2.5
data405.txt,10,10,10,10,10,20,10
data406.txt,10,10,10,10,10,20,10
data407.txt,15,10,10,20,13.75,20,6.25
data408.txt,20,10,10,10,12.5,30,17.5
data409.txt,20,20,20,20,20,30,10
data410.txt,10,10,10,20,12.5,20,7.5
data411.txt,10,10,10,10,10,20,10
data412.txt,10,10,10,10,10,20,10
data413.txt,20,20,15,10,16.25,20,3.75
data414.txt,10,10,10,10,10,10,0
data415.txt,10,10,10,10,10,20,10
data416.txt,10,10,10,20,12.5,20,7.5
data417.txt,10,10,10,20,12.5,20,7.5
data418.txt,10,20,10,20,15,20,5
data419.txt,20,10,10,10,12.5,30,17.5
data420.txt,10,10,20,20,15,20,5
data421.txt,10,10,15,10,11.25,20,8.75
data422.txt,10,10,10,10,10,20,10
data423.txt,10,10,10,10,10,30,20
data424.txt,10,10,20,10,12.5,20,7.5
data425.txt,20,20,20,10,17.5,30,12.5
data426.txt,10,10,10,10,10,20,10
data427.txt,20,10,10,10,12.5,20,7.5
data428.txt,10,10,10,10,10,30,20
data429.txt,10,20,10,10,12.5,10,-2.5
data430.txt,10,10,10,20,12.5,20,7.5
data431.txt,10,10,10,10,10,30,20
data432.txt,20,10,20,20,17.5,75,57.5
data433.txt,20,20,20,10,17.5,30,12.5
data434.txt,10,10,10,20,12.5,30,17.5
data435.txt,10,20,10,20,15,20,5
data436.txt,10,10,10,10,10,20,10
data437.txt,10,10,10,10,10,30,20
data438.txt,10,10,10,10,10,30,20
data439.txt,10,10,10,10,10,30,20
data440.txt,20,10,10,20,15,30,15
data441.txt,10,10,10,20,12.5,20,7.5
data442.txt,10,10,20,10,12.5,20,7.5
data443.txt,10,10,10,10,10,20,10
data444.txt,10,20,10,10,12.5,20,7.5
data445.txt,10,10,10,10,10,20,10
data446.txt,10,10,10,20,12.5,30,17.5
data447.txt,10,10,10,10,10,30,20
data448.txt,10,20,20,10,15,20,5
data449.txt,10,10,10,10,10,20,10
data450.txt,20,20,10,10,15,30,15
data451.txt,10,20,20,20,17.5,20,2.5
data452.txt,10,10,10,20,12.5,10,-2.5
data453.txt,10,10,10,10,10,20,10
data454.txt,10,10,10,10,10,20,10
data455.txt,10,10,10,20,12.5,20,7.5
data456.txt,20,20,10,10,15,20,5
data457.txt,10,10,10,10,10,30,20
data458.txt,10,10,20,10,12.5,20,7.5
data459.txt,10,10,10,10,10,20,10
data460.txt,10,10,10,10,10,30,20
data461.txt,10,20,20,10,15,75,60
data462.txt,10,10,20,20,15,20,5
data463.txt,10,10,10,10,10,30,20
data464.txt,20,10,20,10,15,30,15
data465.txt,10,10,10,20,12.5,30,17.5
data466.txt,20,20,10,20,17.5,30,12.5
data467.txt,20,10,10,20,15,20,5
data468.txt,20,20,10,20,17.5,20,2.5
data469.txt,10,10,10,10,10,10,0
data470.txt,10,10,20,10,12.5,30,17.5
data471.txt,20,10,10,10,12.5,30,17.5
data472.txt,10,20,10,10,12.5,30,17.5
data473.txt,10,10,10,10,10,20,10
data474.txt,20,20,10,20,17.5,20,2.5
data475.txt,10,20,10,10,12.5,45,32.5
data476.txt,10,20,20,10,15,10,-5
data477.txt,10,10,10,10,10,30,20
data478.txt,10,20,20,20,17.5,30,12.5
data479.txt,10,10,10,10,10,20,10
data480.txt,10,10,10,10,10,30,20
data481.txt,10,20,10,10,12.5,20,7.5
data482.txt,10,10,20,10,12.5,20,7.5
data483.txt,30,20,20,20,22.5,20,-2.5
data484.txt,20,20,10,10,15,20,5
data485.txt,20,20,10,10,15,75,60
data486.txt,10,20,10,10,12.5,10,-2.5
data487.txt,20,10,20,20,17.5,30,12.5
data488.txt,10,10,20,20,15,20,5
data489.txt,10,10,10,10,10,30,20
data490.txt,20,20,20,10,17.5,30,12.5
data491.txt,20,10,10,20,15,20,5
data492.txt,10,10,20,20,15,30,15
data493.txt,10,10,10,10,10,20,10
data494.txt,10,10,10,10,10,20,10
data495.txt,20,10,10,10,12.5,30,17.5
data496.txt,20,10,20,10,15,20,5
data497.txt,10,10,20,10,12.5,20,7.5
data498.txt,10,20,10,20,15,20,5
data499.txt,20,10,10,10,12.5,30,17.5
data600.txt,10,10,10,10,10,30,20
data601.txt,20,10,10,15,13.75,20,6.25
data602.txt,10,15,10,10,11.25,10,-1.25
data603.txt,10,10,10,10,10,30,20
data604.txt,10,10,10,10,10,20,10
data605.txt,10,10,10,10,10,10,0
data606.txt,10,10,10,20,12.5,15,2.5
data607.txt,20,10,10,10,12.5,30,17.5
data608.txt,10,10,10,10,10,20,10
data609.txt,10,15,20,10,13.75,30,16.25
data610.txt,10,10,10,20,12.5,30,17.5
data611.txt,10,15,10,10,11.25,10,-1.25
data612.txt,10,10,10,10,10,20,10
data613.txt,10,10,10,10,10,10,0
data614.txt,10,10,10,10,10,10,0
data615.txt,10,10,10,10,10,10,0
data616.txt,10,20,10,10,12.5,10,-2.5
data617.txt,20,10,10,10,12.5,20,7.5
data618.txt,10,10,10,10,10,30,20
data619.txt,10,10,10,20,12.5,10,-2.5
data620.txt,10,10,10,10,10,10,0
data621.txt,10,20,20,10,15,15,0
data622.txt,20,10,10,10,12.5,30,17.5
data623.txt,10,10,10,10,10,10,0
data624.txt,20,10,15,10,13.75,30,16.25
data625.txt,10,10,10,20,12.5,20,7.5
data626.txt,10,10,10,10,10,10,0
data627.txt,10,10,10,10,10,30,20
data628.txt,10,10,20,10,12.5,30,17.5
data629.txt,10,10,10,10,10,10,0
data630.txt,10,10,10,10,10,10,0
data631.txt,10,10,10,20,12.5,30,17.5
data632.txt,10,10,20,10,12.5,30,17.5
data633.txt,10,10,10,10,10,30,20
data634.txt,20,10,20,10,15,20,5
data635.txt,10,10,10,10,10,10,0
data636.txt,10,10,10,10,10,10,0
data637.txt,10,10,20,10,12.5,20,7.5
data638.txt,10,10,10,10,10,10,0
data639.txt,20,10,10,20,15,45,30
data640.txt,10,10,10,10,10,20,10
data641.txt,10,10,10,20,12.5,20,7.5
data642.txt,10,15,10,10,11.25,30,18.75
data643.txt,20,10,10,10,12.5,10,-2.5
data644.txt,10,10,10,10,10,20,10
data645.txt,10,20,10,10,12.5,10,-2.5
data646.txt,10,10,10,10,10,10,0
data647.txt,10,10,10,10,10,20,10
data648.txt,10,10,10,10,10,10,0
data649.txt,10,10,10,15,11.25,20,8.75
data650.txt,10,10,10,20,12.5,30,17.5
data651.txt,10,10,10,10,10,20,10
data652.txt,10,20,10,10,12.5,20,7.5
data653.txt,10,10,10,10,10,10,0
data654.txt,10,10,10,10,10,30,20
data655.txt,10,10,20,20,15,20,5
data656.txt,10,10,10,10,10,10,0
data657.txt,15,10,10,10,11.25,15,3.75
data658.txt,10,10,10,10,10,20,10
data659.txt,10,10,10,10,10,15,5
data660.txt,10,10,10,10,10,20,10
data661.txt,10,10,20,10,12.5,20,7.5
data662.txt,10,10,20,20,15,20,5
data663.txt,10,20,10,10,12.5,10,-2.5
data664.txt,10,20,20,10,15,20,5
data665.txt,20,10,10,10,12.5,10,-2.5
data666.txt,20,10,10,10,12.5,10,-2.5
data667.txt,20,10,10,10,12.5,20,7.5
data668.txt,10,10,10,10,10,10,0
data669.txt,10,10,10,10,10,10,0
data670.txt,15,10,10,10,11.25,20,8.75
data671.txt,10,10,20,10,12.5,45,32.5
data672.txt,20,20,10,15,16.25,10,-6.25
data673.txt,15,10,10,10,11.25,45,33.75
data674.txt,10,10,10,10,10,10,0
data675.txt,10,10,10,10,10,25,15
data676.txt,10,10,10,10,10,10,0
data677.txt,10,10,10,10,10,10,0
data678.txt,10,10,10,10,10,20,10
data679.txt,10,10,10,10,10,30,20
