filename,ind1,ind2,ind3,ind4,avg_ind1_ind4,combined,combined_minus_avg_ind
data0.txt,20,10,10,20,15,15,0
data1.txt,10,10,10,10,10,10,0
data2.txt,10,10,20,10,12.5,20,7.5
data3.txt,10,10,20,65,26.25,30,3.75
data4.txt,10,20,10,10,12.5,10,-2.5
data5.txt,10,10,10,10,10,10,0
data6.txt,10,10,10,10,10,10,0
data7.txt,10,10,10,10,10,10,0
data8.txt,20,10,10,20,15,20,5
data200.txt,70,30,45,30,43.75,85,41.25
data201.txt,30,85,85,30,57.5,95,37.5
data202.txt,30,65,85,30,52.5,85,32.5
data203.txt,20,30,30,30,27.5,85,57.5
data204.txt,30,30,85,85,57.5,85,27.5
data205.txt,75,30,75,45,56.25,85,28.75
data206.txt,30,70,75,30,51.25,95,43.75
data207.txt,85,20,85,60,62.5,95,32.5
data208.txt,20,85,20,20,36.25,85,48.75
data209.txt,30,30,85,75,55,85,30
data210.txt,85,20,30,30,41.25,85,43.75
data211.txt,30,85,75,85,68.75,95,26.25
data212.txt,30,45,20,85,45,95,50
data213.txt,85,30,75,85,68.75,85,16.25
data214.txt,65,30,30,30,38.75,75,36.25
data215.txt,20,30,85,30,41.25,85,43.75
data216.txt,85,30,30,20,41.25,85,43.75
data217.txt,45,85,75,30,58.75,95,36.25
data218.txt,75,75,30,85,66.25,85,18.75
data219.txt,30,30,75,85,55,85,30
data220.txt,30,70,85,85,67.5,85,17.5
data221.txt,75,30,30,75,52.5,85,32.5
data222.txt,30,45,20,20,28.75,85,56.25
data223.txt,85,30,85,75,68.75,85,16.25
data224.txt,85,20,85,20,52.5,85,32.5
data225.txt,75,30,30,30,41.25,85,43.75
data226.txt,85,85,75,85,82.5,95,12.5
data227.txt,75,20,85,45,56.25,85,28.75
data228.txt,85,30,75,45,58.75,85,26.25
data229.txt,85,45,20,30,45,85,40
data230.txt,30,75,30,85,55,95,40
data231.txt,75,10,30,30,36.25,85,48.75
data232.txt,20,85,75,30,52.5,85,32.5
data233.txt,30,85,30,20,41.25,85,43.75
data234.txt,30,65,70,20,46.25,85,38.75
data235.txt,30,30,30,20,27.5,75,47.5
data236.txt,75,30,85,85,68.75,95,26.25
data237.txt,30,75,85,30,55,85,30
data238.txt,85,20,20,20,36.25,85,48.75
data239.txt,30,85,75,75,66.25,85,18.75
data240.txt,30,85,30,30,43.75,85,41.25
data241.txt,75,20,85,30,52.5,85,32.5
data242.txt,85,30,85,85,71.25,85,13.75
data243.txt,20,30,85,30,41.25,85,43.75
data244.txt,85,85,85,30,71.25,85,13.75
data245.txt,30,30,30,85,43.75,85,41.25
data246.txt,75,85,30,30,55,85,30
data247.txt,20,30,85,30,41.25,85,43.75
data248.txt,30,30,75,30,41.25,85,43.75
data249.txt,85,85,30,45,61.25,95,33.75
data250.txt,85,75,30,30,55,95,40
data251.txt,30,85,85,45,61.25,85,23.75
data252.txt,30,65,30,65,47.5,85,37.5
data253.txt,30,30,20,75,38.75,85,46.25
data254.txt,75,45,30,85,58.75,85,26.25
data255.txt,30,75,85,45,58.75,95,36.25
data256.txt,45,30,85,30,47.5,85,37.5
data257.txt,85,30,30,30,43.75,85,41.25
data258.txt,30,20,30,20,25,75,50
data259.txt,30,85,20,20,38.75,75,36.25
data260.txt,85,30,30,30,43.75,95,51.25
data261.txt,85,75,20,30,52.5,95,42.5
data262.txt,85,20,30,85,55,85,30
data263.txt,75,20,85,85,66.25,95,28.75
data264.txt,30,30,30,30,30,85,55
data265.txt,65,85,75,65,72.5,85,12.5
data266.txt,20,85,30,20,38.75,85,46.25
data267.txt,30,30,30,75,41.25,75,33.75
data268.txt,30,30,30,45,33.75,85,51.25
data269.txt,70,30,85,30,53.75,85,31.25
data270.txt,70,85,75,45,68.75,95,26.25
data271.txt,20,20,85,30,38.75,85,46.25
data272.txt,30,85,75,85,68.75,95,26.25
data273.txt,20,30,30,75,38.75,85,46.25
data274.txt,30,30,75,70,51.25,85,33.75
data275.txt,75,85,75,30,66.25,85,18.75
data276.txt,45,85,30,75,58.75,95,36.25
data277.txt,85,85,85,85,85,95,10
data278.txt,20,20,75,85,50,85,35
data279.txt,30,85,85,30,57.5,85,27.5
data280.txt,20,30,30,85,41.25,85,43.75
data281.txt,20,45,75,75,53.75,85,31.25
data282.txt,75,45,45,30,48.75,85,36.25
data283.txt,30,45,30,85,47.5,85,37.5
data284.txt,20,85,30,85,55,95,40
data285.txt,30,75,85,30,55,85,30
data286.txt,85,85,30,75,68.75,95,26.25
data287.txt,30,20,85,75,52.5,85,32.5
data288.txt,30,30,45,65,42.5,75,32.5
data289.txt,20,85,45,30,45,85,40
data290.txt,30,20,75,75,50,85,35
data291.txt,30,20,30,30,27.5,75,47.5
data292.txt,85,30,10,85,52.5,85,32.5
data293.txt,30,30,30,30,30,85,55
data294.txt,75,30,85,30,55,85,30
data295.txt,30,20,30,85,41.25,85,43.75
data296.txt,85,20,20,30,38.75,85,46.25
data297.txt,45,65,30,75,53.75,85,31.25
data298.txt,30,30,45,85,47.5,85,37.5
