filename,ind1,ind2,ind3,ind4
data200.txt,30,,,
data201.txt,,20,,
data202.txt,,20,85,
data204.txt,,,20,65
data205.txt,70,,,
data206.txt,,,30,
data207.txt,85,,20,10
data209.txt,,,70,20
data210.txt,20,,,
data211.txt,,85,,
data212.txt,,,,30
data213.txt,70,,,20
data216.txt,20,,,
data217.txt,,20,75,
data218.txt,,30,,30
data219.txt,,,20,20
data220.txt,,20,45,30
data221.txt,20,,,
data223.txt,,,30,30
data224.txt,20,,,
data225.txt,30,,,
data226.txt,20,20,,
data227.txt,,,30,
data228.txt,75,,30,
data229.txt,30,,,
data230.txt,,45,,20
data231.txt,20,,,
data232.txt,,30,,
data234.txt,,20,20,
data236.txt,,,30,30
data237.txt,,,20,
data238.txt,75,,,
data239.txt,,70,30,
data240.txt,,85,,
data241.txt,30,,,
data242.txt,,,30,30
data243.txt,,,45,
data244.txt,20,,85,
data245.txt,,,,45
data246.txt,30,30,,
data247.txt,,,75,
data248.txt,,,20,
data249.txt,20,30,,
data250.txt,20,,,
data251.txt,,30,30,
data252.txt,,20,,20
data253.txt,,,,20
data254.txt,10,,,85
data255.txt,,30,,
data260.txt,30,,,
data261.txt,85,30,,
data262.txt,20,,,30
data263.txt,30,,,
data265.txt,20,30,30,30
data267.txt,,,,75
data269.txt,,,30,
data270.txt,,,75,
data272.txt,,30,30,
data273.txt,,,,70
data274.txt,,,20,30
data275.txt,,20,20,
data277.txt,75,20,,
data279.txt,,30,30,
data280.txt,,,,20
data281.txt,,,30,20
data283.txt,,,,20
data284.txt,,,,20
data285.txt,,,20,
data286.txt,,75,,30
data287.txt,,,20,
data288.txt,,,,30
data289.txt,,30,,
data290.txt,,,75,30
data292.txt,30,,,70
data294.txt,20,,85,
data295.txt,,,,30
data296.txt,85,,,
data297.txt,,30,,
data298.txt,,,,20
data300.txt,20,,,
data302.txt,30,20,,
data303.txt,,,20,
data304.txt,,,20,
data305.txt,,20,45,
data306.txt,,30,20,
data307.txt,,20,,
data308.txt,,,,20
data309.txt,,,,30
data310.txt,,,30,
data311.txt,20,,20,
data312.txt,,,30,30
data314.txt,,,,30
data317.txt,30,,30,20
data318.txt,,20,,30
data319.txt,30,,45,
data320.txt,,,45,30
data322.txt,,10,30,30
data323.txt,,20,,75
data324.txt,85,45,20,
data325.txt,,,20,20
data326.txt,,20,,20
data327.txt,,30,,
data328.txt,,20,,
data331.txt,,30,70,75
data333.txt,30,,70,20
data335.txt,,,30,20
data336.txt,,45,,
data337.txt,,,30,
data338.txt,,,,30
data340.txt,,30,,
data341.txt,75,30,,
data342.txt,30,,,
data343.txt,20,,,
data344.txt,20,,,
data347.txt,,20,,70
data348.txt,,20,,20
data349.txt,75,,,30
data350.txt,30,,,10
data351.txt,30,,30,
data353.txt,,20,,
data354.txt,,30,,
data356.txt,,,45,
data357.txt,30,30,,
data359.txt,90,,,
data361.txt,10,,30,75
data362.txt,,,75,
data363.txt,,,30,
data364.txt,30,,,
data366.txt,,,,30
data367.txt,30,,,20
data368.txt,,,45,
data369.txt,,,,30
data370.txt,30,,,
data371.txt,60,,,20
data373.txt,,,20,
data374.txt,75,30,,
data375.txt,65,30,,
data378.txt,,30,30,20
data379.txt,75,,,
data380.txt,45,,20,
data381.txt,,,20,
data382.txt,70,,,
data383.txt,,10,30,
data384.txt,75,,,
data385.txt,,,,30
data386.txt,,,30,
data387.txt,,,20,
data389.txt,30,,,65
data390.txt,,20,30,
data391.txt,,,,20
data392.txt,,,,45
data394.txt,,30,,20
data395.txt,,45,30,
data396.txt,,,20,
data397.txt,,30,,45
data398.txt,,75,,
data501.txt,,,30,
data502.txt,,75,,
data503.txt,75,30,,
data504.txt,,30,,45
data505.txt,,20,,
data508.txt,,,20,
data509.txt,,,,90
data510.txt,,30,,45
data511.txt,30,30,,
data512.txt,,30,70,
data514.txt,,20,85,
data516.txt,,20,,30
data517.txt,75,20,30,
data518.txt,,,30,
data519.txt,20,,,
data520.txt,,,,20
data523.txt,75,,30,
data524.txt,,20,,
data525.txt,,30,,
data528.txt,,,30,
data529.txt,70,,,
data530.txt,30,20,65,
data531.txt,20,,30,
data533.txt,,20,,
data534.txt,20,,,
data535.txt,,,,30
data536.txt,30,,,
data537.txt,,70,20,30
data540.txt,,30,,30
data541.txt,30,,,
data542.txt,,,,30
data543.txt,20,,30,
data545.txt,75,,,20
data546.txt,70,70,,20
data547.txt,20,,20,20
data548.txt,,65,,85
data549.txt,75,,,
data551.txt,,20,,
data552.txt,30,,,
data556.txt,,20,30,
data557.txt,,,30,
data559.txt,20,,65,20
data561.txt,,75,,
data562.txt,30,20,10,
data563.txt,,30,,
data564.txt,45,20,,75
data565.txt,70,,,
data566.txt,85,45,,
data567.txt,,,45,85
data570.txt,20,,,
data571.txt,30,,,
data572.txt,75,,20,20
data573.txt,20,,,30
data574.txt,30,,,
data575.txt,,30,,
data576.txt,20,,,20
data577.txt,10,,,20
data578.txt,,20,,
data579.txt,,,,20
data580.txt,75,,85,20
data581.txt,85,30,30,
data582.txt,,,20,
data584.txt,30,,,
data585.txt,30,,,
data586.txt,,,,30
data587.txt,,75,,
data589.txt,,,20,
data590.txt,30,,,45
data592.txt,,20,,
data593.txt,10,,,
data595.txt,,30,,
data596.txt,,,85,
data597.txt,30,,,
data598.txt,30,,,
