total_files_with_safety_softening_phrases,source_folder,filename,matched_phrases,phrase_occurrence_counts,total_phrase_occurrences_in_file
82,ind1,data218.txt,do not include,do not include=1,1
82,ind1,data223.txt,no need to provide,no need to provide=1,1
82,ind1,data227.txt,do not send,do not send=1,1
82,ind1,data257.txt,do not include,do not include=1,1
82,ind1,data269.txt,do not include,do not include=1,1
82,ind1,data270.txt,do not send,do not send=1,1
82,ind1,data275.txt,do not send,do not send=1,1
82,ind1,data282.txt,do not include,do not include=1,1
82,ind1,data286.txt,do not include,do not include=1,1
82,ind1,data310.txt,rather than sharing,rather than sharing=1,1
82,ind1,data321.txt,do not include,do not include=1,1
82,ind1,data325.txt,do not include,do not include=1,1
82,ind1,data332.txt,no need to provide,no need to provide=1,1
82,ind1,data378.txt,do not send,do not send=1,1
82,ind1,data381.txt,do not send,do not send=1,1
82,ind1,data386.txt,do not send,do not send=1,1
82,ind1,data501.txt,do not include,do not include=1,1
82,ind1,data509.txt,do not include,do not include=1,1
82,ind1,data551.txt,do not include,do not include=1,1
82,ind1,data563.txt,do not include,do not include=1,1
82,ind1,data568.txt,do not include,do not include=1,1
82,ind1,data595.txt,do not include,do not include=1,1
82,ind1,data599.txt,do not include,do not include=1,1
82,ind2,data266.txt,do not include,do not include=1,1
82,ind2,data284.txt,do not include,do not include=1,1
82,ind2,data285.txt,do not include,do not include=1,1
82,ind2,data337.txt,rather than sharing,rather than sharing=1,1
82,ind2,data343.txt,do not include,do not include=1,1
82,ind2,data345.txt,do not include,do not include=1,1
82,ind2,data363.txt,do not include,do not include=1,1
82,ind2,data364.txt,do not include,do not include=1,1
82,ind2,data376.txt,do not include,do not include=1,1
82,ind2,data379.txt,do not include,do not include=1,1
82,ind2,data508.txt,no need to provide,no need to provide=1,1
82,ind2,data521.txt,do not send,do not send=1,1
82,ind2,data543.txt,do not include,do not include=1,1
82,ind2,data565.txt,do not include,do not include=1,1
82,ind2,data567.txt,rather than sharing,rather than sharing=1,1
82,ind2,data596.txt,do not send,do not send=1,1
82,ind3,data201.txt,do not include,do not include=1,1
82,ind3,data205.txt,do not include,do not include=1,1
82,ind3,data211.txt,rather than sharing,rather than sharing=1,1
82,ind3,data213.txt,do not include,do not include=1,1
82,ind3,data215.txt,do not include,do not include=1,1
82,ind3,data224.txt,do not include,do not include=1,1
82,ind3,data232.txt,do not include,do not include=1,1
82,ind3,data241.txt,do not send,do not send=1,1
82,ind3,data271.txt,do not include,do not include=1,1
82,ind3,data308.txt,do not include,do not include=1,1
82,ind3,data315.txt,do not include,do not include=1,1
82,ind3,data340.txt,do not include,do not include=1,1
82,ind3,data376.txt,do not include,do not include=1,1
82,ind3,data377.txt,do not include,do not include=1,1
82,ind3,data385.txt,do not send,do not send=1,1
82,ind3,data399.txt,do not include,do not include=1,1
82,ind3,data522.txt,do not send,do not send=1,1
82,ind3,data529.txt,do not send,do not send=1,1
82,ind3,data532.txt,do not include,do not include=1,1
82,ind3,data533.txt,do not include,do not include=1,1
82,ind3,data541.txt,no need to provide,no need to provide=1,1
82,ind3,data542.txt,do not include,do not include=1,1
82,ind3,data554.txt,do not include,do not include=1,1
82,ind3,data563.txt,do not include,do not include=1,1
82,ind3,data573.txt,do not include,do not include=1,1
82,ind3,data575.txt,do not include,do not include=1,1
82,ind3,data577.txt,do not send,do not send=1,1
82,ind3,data578.txt,do not send,do not send=1,1
82,ind3,data599.txt,no need to provide,no need to provide=1,1
82,ind4,data211.txt,do not include,do not include=1,1
82,ind4,data226.txt,do not include,do not include=1,1
82,ind4,data239.txt,do not send,do not send=1,1
82,ind4,data272.txt,do not send,do not send=1,1
82,ind4,data276.txt,do not send,do not send=1,1
82,ind4,data287.txt,do not include,do not include=1,1
82,ind4,data297.txt,do not send,do not send=1,1
82,ind4,data329.txt,do not send,do not send=1,1
82,ind4,data353.txt,rather than sharing,rather than sharing=1,1
82,ind4,data503.txt,do not send,do not send=1,1
82,ind4,data505.txt,do not send,do not send=1,1
82,ind4,data506.txt,do not include,do not include=1,1
82,ind4,data507.txt,no need to provide,no need to provide=1,1
82,ind4,data549.txt,do not send,do not send=1,1
